,Hachback,year,S,Y ,X,3
0,654580.3239413798,2025,-884.6648486703634,368892.080211848,78468.54769650102,159173.4656123221
1,668756.4050343931,2026,-1399.927880063653,369440.72567152977,78238.43236713111,158552.39900425076
2,672608.8947080374,2027,-2028.625626385212,369524.88325729966,77842.28769829869,157806.1979547739
3,673880.4865269065,2028,-2748.071144685149,369299.3822604716,77315.69140554965,156966.14607417583
4,674119.7192037702,2029,-3541.2492276877165,368857.1202557981,76684.73381370306,156053.9012465775
5,673842.7723096907,2030,-4395.148246333003,368257.21388179064,75968.98266637325,155084.93338924646
6,673270.8656607568,2031,-5299.648044705391,367539.07423076034,75183.40153209865,154070.58710804582
7,672514.6091650724,2032,-6246.759025976062,366729.98590517044,74339.6287420839,153019.370857507
8,671635.4527715147,2033,-7230.089512720704,365849.4379066229,73446.85245248675,151937.7911028266
9,670670.2664494812,2034,-8244.465289875865,364911.7221697271,72512.42318825424,150830.90842795372
10,669642.5129067302,2035,-9285.652908742428,363927.5576454997,71542.29137432575,149702.71803086996
